品类,类型,名称,性味,神农本草经文,功效与主治
上品,植物,菖蒲,味辛温。,主风寒湿痹，咳逆上气，开心孔，补五脏，通九窍，明耳目，出声音。久服轻身，不忘不迷或延年。一名昌阳，生池泽。,
上品,植物,鞠华,味苦平。,主风，头眩肿痛，目欲脱，泪出，皮肤死肌，恶风湿痹。久服，利血气，轻身，耐老延年。一名节华，生川泽及田野。,
上品,植物,人参,味甘微寒。,主补五脏，安精神，定魂魄，止惊悸，除邪气，明目，开心益智。久服，轻身延年。一名人衔，一名鬼盖。生山谷。,
上品,植物,天门冬,味苦平。,主诸暴风湿偏痹，强骨髓，杀三虫，去伏尸。久服轻身，益气延年。一名颠勒。生山谷。,
上品,植物,甘草,味甘平。,主五脏六府寒热邪气，坚筋骨，长肌肉，倍力，金创，解毒。久服轻身延年。生川谷。,
上品,植物,干地黄,味甘寒。,主折跌绝筋，伤中，逐血痹，填骨髓，长肌肉，作汤，除寒热积聚，除痹，生者尤良。久服，轻身不老。一名地髓，生川泽。,
上品,植物,术,味苦温。,主风寒湿痹死肌，痉疸，止汗，除热，消食，作煎饵。久服，轻身延年，不饥。一名山蓟，生山谷。,
上品,植物/果实种子类,菟丝子,味辛平。,主续绝伤，补不足，益气力，肥健，汁，去面皯。久服明目，轻身延年。一名菟芦，生川泽。,补肝肾，益精髓，明目。治腰膝酸痛，遗精，消渴，尿有余沥，目暗。 
上品,植物,牛膝,味苦酸。,主寒，湿痿痹，四肢拘挛，膝痛不可屈伸，逐血气伤，热，火烂，堕胎。久服轻身耐老。,
上品,植物,充蔚子,味辛微温。,主明目益精，除水气。久服轻身，茎生瘾疹痒，可作浴汤。一名益母，一名益明，一名大札。生池泽。,
上品,植物,女萎,味甘平。,主中风暴热，不能动摇，跌筋结肉，诸不足。久服，去面黑皯，好颜色，润泽，轻身不老。生山谷。,
上品,植物,防葵,味辛寒。,主疝瘕，肠泄，膀胱热结，溺不下，咳逆，温疟，癫，痫，惊邪，狂走。久服，坚骨髓，益气轻身。一名梨盖。生川谷。,
上品,植物,柴胡,味苦平。,主心腹，去肠胃中结气，饮食积聚，寒热邪气，推陈致新。久服，轻身明目益精。一名地熏。,
上品,植物,麦门冬,味甘平。,主心腹，结气伤中伤饱，胃络脉绝，羸瘦短气。久服轻身，不老不饥。生川谷及堤阪。,
上品,植物,独活,味苦平。,主风寒所击，金疮止痛，贲豚，痫痓，女子疝瘕。久服，轻身耐老。一名羌活，一名羌青，一名护羌使者。生川谷。,
上品,植物/果实种子类,车前子,味甘寒无毒。,主气癃，止痛，利水道小便，除湿痹。久服轻身耐老。一名当道，生平泽。,利水，清热，明日，祛痰。治小便不通，淋浊，带下，尿血，暑湿泻痢，咳嗽多痰，湿痹，目赤障翳。（凡内伤劳倦，阳气下陷，肾虚精滑及内无湿热者，慎服）
上品,植物,木香,味辛。,主邪气，辟毒疫温鬼，强志，主淋露。久服，不梦寤魇寐。生山谷。,
上品,植物/果实种子类,薏苡仁,味甘微寒。,主筋急，拘挛不可屈伸，风湿痹，下气。久服轻身益气。其根下三虫，一名解蠡。生平泽及田野。,健脾，补肺，清热，利湿。治泄泻，湿痹，筋脉拘挛，屈伸不利，水肿，脚气，肺痿，肺痈，肠痈，淋浊，白带。
上品,植物,泽泻,味甘寒。,主风寒湿痹，乳难消水，养五脏，益气力，肥健。久服耳目聪明，不饥，延年轻身，面生光，能行水上。一名水泻，一名芒芋，一名鹄泻。生池泽。,
上品,植物,远志,味苦温。,主咳逆，伤中，补不足，除邪气，利九窍，益智慧，耳目聪明，不忘，强志倍力。久服，轻身不老。叶名小草，一名棘菀，一名棘绕，一名细草。生川谷。,
上品,植物,龙胆,味苦涩。,主骨间寒热，惊痫，邪气续绝伤，定五脏，杀盅毒。久服，益智，不忘，轻身，耐老。一名陵游，生山谷。,
上品,植物,细辛,味辛温。,主咳逆，头痛，脑动，百节拘挛，风湿，痹痛，死肌。久服明目，利九窍，轻身长年。一名小辛，生山谷。,
上品,植物/全草类,石斛,味甘平。,主伤中，除痹，下气，补五脏虚劳，羸瘦，强阴。久服厚肠胃，轻身延年。一名林兰，生山谷。,生津益胃，清热养阴。治热病伤津，口干烦渴，病后虚热，阴伤目暗。
上品,植物,巴戟天,味辛微温。,主大风邪气，阴痿不起，强筋骨，安五脏，补中，增志，益气。生山谷。,
上品,植物/全草类,白英,味甘寒。,主寒热，八疽，消渴，补中益气。久服，轻身延年。一名谷菜，生山谷。,清热解毒，祛风利湿，化瘀。用于湿热黄疸、风热头痛、白带过多、风湿性关节炎。
