序号,类型,名称,拼音,二进制卦,卦象描述,卦象
1,八卦,乾,qián,111,,☰
2,八卦,兑,duì,011,,☱
3,八卦,离,lí,101,,☲
4,八卦,震,zhèn,001,,☳
5,八卦,巽,xùn,110,,☴
6,八卦,坎,kǎn,010,,☵
7,八卦,艮,gèn,100,,☶
8,八卦,坤,kūn,000,,☷
1,六十四卦,乾,qián,111111,乾为天，乾上乾下,䷀
2,六十四卦,坤,kūn,000000,坤为地，坤上坤下,䷁
3,六十四卦,屯,zhūn,010001,水雷屯，坎上震下,䷂
4,六十四卦,蒙,méng,100010,山水蒙，艮上坎下,䷃
5,六十四卦,需,xū,010111,水天需，坎上乾下,䷄
6,六十四卦,讼,sòng,111010,天水讼，乾上坎下,䷅
7,六十四卦,师,shī,000010,地水师，坤上坎下,䷆
8,六十四卦,比,bǐ,010000,水地比，坎上坤下,䷇
9,六十四卦,小畜, xiǎo xù,110111,风天小畜，巽上乾下,䷈
10,六十四卦,履,lǚ,111011,天泽履，乾上兑下,䷉
11,六十四卦,泰,tài,000111,地天泰，坤上乾下,䷊
12,六十四卦,否,pǐ,111000,天地否，乾上坤下,䷋
13,六十四卦,同人,tóng rén,111101,天火同人，乾上离下,䷌
14,六十四卦,大有,dà yǒu,101111,火天大有，离上乾下,䷍
15,六十四卦,谦,qiān,000100,地山谦，坤上艮下,䷎
16,六十四卦,豫,yù,001000,雷地豫，震上坤下,䷏
17,六十四卦,随,suí,011001,泽雷随，兑上震下,䷐
18,六十四卦,蛊,gǔ,100110,山风蛊，艮上巽下,䷑
19,六十四卦,临,lín,000011,地泽临，坤上兑下,䷒
20,六十四卦,观,guān,110000,风地观，巽上坤下,䷓
21,六十四卦,噬嗑,shì kē,101001,火雷噬嗑，离上震下,䷔
22,六十四卦,贲,bì,100101,山火贲，艮上离下,䷕
23,六十四卦,剥,bō,100000,山地剥，艮上坤下,䷖
24,六十四卦,复,fù,000001,地雷复，坤上震下,䷗
25,六十四卦,无妄,wú wàng,111001,天雷无妄，乾上震下,䷘
26,六十四卦,大畜,dà xù,100111,山天大畜，艮上乾下,䷙
27,六十四卦,颐,yí,100001,山雷颐，艮上震下,䷚
28,六十四卦,大过,dà guò,011110,泽风大过，兑上巽下,䷛
29,六十四卦,坎,kǎn,010010,坎为水，坎上坎下,䷜
30,六十四卦,离,lí,101101,离为火，离上离下,䷝
31,六十四卦,咸,xián,011100,泽山咸，兑上艮下,䷞
32,六十四卦,恒,héng,001110,雷风恒，震上巽下,䷟
33,六十四卦,遁,dùn,111100,天山遁，乾上艮下,䷠
34,六十四卦,大壮,dà zhuàng,001111,雷天大壮，震上乾下,䷡
35,六十四卦,晋,jìn,101000,火地晋，离上坤下,䷢
36,六十四卦,明夷,míng yí,000101,地火明夷，坤上离下,䷣
37,六十四卦,家人,jiā rén,110101,风火家人，巽上离下,䷤
38,六十四卦,睽,kuí,101011,火泽睽，离上兑下,䷥
39,六十四卦,蹇,jiǎn,010100,水山蹇，坎上艮下,䷦
40,六十四卦,解,xiè,001010,雷水解，震上坎下,䷧
41,六十四卦,损,sǔn,100011,山泽损，艮上兑下,䷨
42,六十四卦,益,yì,110001,风雷益，巽上震下,䷩
43,六十四卦,夬,guài,011111,泽天夬，兑上乾下,䷪
44,六十四卦,姤,gòu,111110,天风姤，乾上巽下,䷫
45,六十四卦,萃,cuì,011000,泽地萃，兑上坤下,䷬
46,六十四卦,升,shēng,000110,地风升，坤上巽下,䷭
47,六十四卦,困,kùn,011010,泽水困，兑上坎下,䷮
48,六十四卦,井,jǐng,010110,水风井，坎上巽下,䷯
49,六十四卦,革,gé,011101,泽火革，兑上离下,䷰
50,六十四卦,鼎,dǐng,101110,火风鼎，离上巽下,䷱
51,六十四卦,震,zhèn,001001,震为雷，震上震下,䷲
52,六十四卦,艮,gèn,100100,艮为山，艮上艮下,䷳
53,六十四卦,渐,jiàn,110100,风山渐，巽上艮下,䷴
54,六十四卦,归妹,guī mèi,001011,雷泽归妹，震上兑下,䷵
55,六十四卦,丰,fēng,001101,雷火丰，震上离下,䷶
56,六十四卦,旅,lǚ,101100,火山旅，离上艮下,䷷
57,六十四卦,巽,xùn,110110,巽为风，巽上巽下,䷸
58,六十四卦,兑,duì,011011,兑为泽，兑上兑下,䷹
59,六十四卦,涣,huàn,110010,风水涣，巽上坎下,䷺
60,六十四卦,节,jié,010011,水泽节，坎上兑下,䷻
61,六十四卦,中孚,zhōng fú,110011,风泽中孚，巽上兑下,䷼
62,六十四卦,小过,xiǎo guò,001100,雷山小过，震上艮下,䷽
63,六十四卦,既济,jì jì,010101,水火既济，坎上离下,䷾
64,六十四卦,未济,wèi jì,101010,火水未济，离上坎下,䷿
